name,age,value,nationality,overall,potential,club
Luis Alberto,25,€28.5M,Spain,82,85,Lazio
M. Götze,26,€27M,Germany,82,85,Borussia Dortmund
Gayà,23,€16.5M,Spain,80,85,Valencia CF
T. Abraham,20,€10M,England,74,85,Aston Villa
E. Smith Rowe,17,€975K,England,64,85,Arsenal
E. Can,24,€19.5M,Germany,80,85,Juventus
Adama,22,€10.5M,Spain,75,85,Wolverhampton Wanderers
F. Neuhaus,21,€10.5M,Germany,75,85,Borussia Mönchengladbach
Paco Alcácer,24,€23.5M,Spain,81,85,Borussia Dortmund
G. Itter,19,€1.5M,Germany,67,85,VfL Wolfsburg
L. Shaw,22,€16.5M,England,80,85,Manchester United
Héctor Bellerín,23,€16.5M,Spain,80,85,Arsenal
J. Butland,25,€14M,England,80,85,Stoke City
Dani Olmo,20,€11M,Spain,75,85,Dinamo Zagreb
A. Oxlade-Chamberlain,24,€19.5M,England,80,85,Liverpool
Santi Mina,22,€20M,Spain,80,85,Valencia CF
H. Winks,22,€13M,England,77,85,Tottenham Hotspur
R. Loftus-Cheek,22,€13M,England,77,85,Chelsea
J. Maddison,21,€13M,England,77,85,Leicester City
Aarón Martín,21,€11M,Spain,77,85,1. FSV Mainz 05
R. Griffiths,18,€575K,England,61,84,Olympique Lyonnais
R. Fährmann,29,€20M,Germany,83,84,FC Schalke 04
R. Brewster,18,€700K,England,62,84,Liverpool
Marcos Alonso,27,€24M,Spain,83,84,Chelsea
W. Anton,21,€11M,Germany,77,84,Hannover 96
O. Baumann,28,€21M,Germany,83,84,TSG 1899 Hoffenheim
Roberto López,18,€925K,Spain,64,84,Real Sociedad
J. Weigl,22,€14.5M,Germany,79,84,Borussia Dortmund
Merino,22,€10M,Spain,75,84,Real Sociedad
Brais Méndez,21,€10.5M,Spain,75,84,RC Celta
A. Mawson,24,€9M,England,75,84,Fulham
M. Philipp,24,€17M,Germany,79,84,Borussia Dortmund
Mario Hermoso,23,€10M,Spain,76,84,RCD Espanyol
T. Davies,20,€10M,England,75,84,Everton
Rodrigo,27,€30.5M,Spain,83,84,Valencia CF
M. Eggestein,21,€14M,Germany,78,84,SV Werder Bremen
Manu Trigueros,26,€30M,Spain,83,84,Villarreal CF
Raúl Albiol,32,€18M,Spain,84,84,Napoli
N. Stark,23,€12M,Germany,78,84,Hertha BSC
T. Kehrer,21,€11M,Germany,77,84,Paris Saint-Germain
José Callejón,31,€27.5M,Spain,84,84,Napoli
I. Gündoğan,27,€32M,Germany,84,84,Manchester City
E. Dier,24,€16.5M,England,80,84,Tottenham Hotspur
W. Hughes,23,€12.5M,England,77,84,Watford
E. Nketiah,19,€975K,England,64,84,Arsenal
B. Henrichs,21,€9.5M,Germany,76,84,AS Monaco
L. Cook,21,€12.5M,England,77,84,Bournemouth
K. Walker,28,€24.5M,England,84,84,Manchester City
F. Uduokhai,20,€10M,Germany,76,84,VfL Wolfsburg
J. Grealish,22,€11.5M,England,76,84,Aston Villa
D. Jastrzembski,18,€1.3M,Germany,66,84,Hertha BSC
S. Mustafi,26,€22.5M,Germany,82,84,Arsenal
M. Aarons,18,€1.6M,England,68,84,Norwich City
P. Diop,20,€7M,Spain,73,84,Olympique Lyonnais
Manu García,20,€7M,Spain,73,84,Toulouse Football Club
A. Wan-Bissaka,20,€8M,England,74,84,Crystal Palace
H. Barnes,20,€7M,England,73,84,West Bromwich Albion
A. Rüdiger,25,€22.5M,Germany,82,84,Chelsea
Illarramendi,28,€31M,Spain,84,84,Real Sociedad
Iago Aspas,30,€30M,Spain,84,84,RC Celta
R. James,18,€1.6M,England,68,84,Wigan Athletic
A. Maitland-Niles,20,€4.5M,England,71,84,Arsenal
D. Solanke,20,€3.9M,England,70,84,Liverpool
L. Mai,18,€850K,Germany,64,84,FC Bayern München
K. Demirbay,24,€19.5M,Germany,80,84,TSG 1899 Hoffenheim
M. Edwards,19,€1.4M,England,66,84,Excelsior
D. Geiger,20,€3.9M,Germany,70,84,TSG 1899 Hoffenheim
J. Vagnoman,17,€500K,Germany,61,83,Hamburger SV
E. Eze,20,€2.3M,England,69,83,Queens Park Rangers
K. Dowell,20,€3.4M,England,70,83,Everton
J. Worrall,21,€3.1M,England,70,83,Rangers FC
D. Fry,20,€3.1M,England,70,83,Middlesbrough
J. Onomah,21,€4.2M,England,71,83,Sheffield Wednesday
Manu Morlanes,19,€4.1M,Spain,71,83,Villarreal CF
Pacheco,26,€13M,Spain,80,83,Deportivo Alavés
O. Skipp,17,€800K,England,64,83,Tottenham Hotspur
M. Keane,25,€15.5M,England,80,83,Everton
N. Pope,26,€13M,England,80,83,Burnley
J. Tarkowski,25,€15.5M,England,80,83,Burnley
Muniain,25,€18.5M,Spain,80,83,Athletic Club de Bilbao
M. Meyer,22,€16M,Germany,79,83,Crystal Palace
Jonny,24,€13.5M,Spain,79,83,Wolverhampton Wanderers
Sergio Rico,24,€11.5M,Spain,79,83,Fulham
L. Karius,25,€11.5M,Germany,79,83,Beşiktaş JK
Sergi Darder,24,€16M,Spain,79,83,RCD Espanyol
Loren,24,€14M,Spain,78,83,Real Betis
Joan Jordán,23,€13.5M,Spain,78,83,SD Eibar
Pere Pons,25,€13.5M,Spain,78,83,Girona FC
Óliver Torres,23,€13.5M,Spain,78,83,FC Porto
M. Arnold,24,€13.5M,Germany,78,83,VfL Wolfsburg
J. Lascelles,24,€12M,England,78,83,Newcastle United
Sergi Gómez,26,€11.5M,Spain,78,83,Sevilla FC
Álex Remiro,23,€9M,Spain,77,83,Athletic Club de Bilbao
Jorge Meré,21,€10.5M,Spain,77,83,1. FC Köln
Munir,22,€12.5M,Spain,77,83,FC Barcelona
Yeray,23,€10.5M,Spain,77,83,Athletic Club de Bilbao
Diego Llorente,24,€10.5M,Spain,77,83,Real Sociedad
D. Selke,23,€12.5M,Germany,77,83,Hertha BSC
Angeliño,21,€10.5M,Spain,77,83,PSV
L. Nmecha,19,€1.4M,England,66,83,Preston North End
De Tomás,23,€11M,Spain,76,83,Rayo Vallecano
Rubén Blanco,22,€8M,Spain,76,83,RC Celta
Camarasa,24,€10.5M,Spain,76,83,Cardiff City
R. Holding,22,€9.5M,England,76,83,Arsenal
D. Gray,22,€11M,England,76,83,Leicester City
Unai Núñez,21,€8.5M,Spain,75,83,Athletic Club de Bilbao
Borja Mayoral,21,€10M,Spain,75,83,Levante UD
Borja Garcés,18,€950K,Spain,64,83,Atlético Madrid
Montero,19,€875K,Spain,64,83,Atlético Madrid
Abel Ruiz,18,€1.6M,Spain,67,83,FC Barcelona
Córdoba,21,€10M,Spain,75,83,Athletic Club de Bilbao
K. Volland,25,€22M,Germany,81,83,Bayer 04 Leverkusen
L. Kelly,19,€1.5M,England,67,83,Bristol City
O. Batista Meier,17,€725K,Germany,63,83,FC Bayern München
D. Calvert-Lewin,21,€9M,England,74,83,Everton
Lato,20,€7.5M,Spain,74,83,Valencia CF
J. Yeboah,18,€675K,Germany,62,83,VfL Wolfsburg
Víctor Ruiz,29,€19.5M,Spain,82,83,Villarreal CF
Bartra,27,€21M,Spain,82,83,Real Betis
Pablo Sarabia,26,€26M,Spain,82,83,Sevilla FC
J. Lingard,25,€26.5M,England,82,83,Manchester United
Dani García,28,€20M,Spain,82,83,Athletic Club de Bilbao
Pepe Reina,35,€6M,Spain,83,83,Milan
Cesc Fàbregas,31,€22M,Spain,83,83,Chelsea
L. Bender,29,€20M,Germany,83,83,Bayer 04 Leverkusen
Javi Martínez,29,€20M,Spain,83,83,FC Bayern München
Adán,31,€15.5M,Spain,83,83,Atlético Madrid
Juan Mata,30,€24.5M,Spain,83,83,Manchester United
A. Tuanzebe,20,€4.7M,England,72,83,Aston Villa
D. Henderson,21,€4.2M,England,72,83,Sheffield United
Lucas Vázquez,27,€27M,Spain,83,83,Real Madrid
F. Müller,20,€1.9M,Germany,69,83,1. FSV Mainz 05
A. Gunn,22,€3.3M,England,71,83,Southampton
C. Jones,17,€550K,England,61,82,Liverpool
Pedro Porro,18,€1.6M,Spain,69,82,Girona FC
L. Dajaku,17,€600K,Germany,62,82,VfB Stuttgart
Pedro,30,€21M,Spain,82,82,Chelsea
D. Loader,17,€450K,England,60,82,Reading
Marcano,31,€15M,Spain,82,82,Roma
Y. Bisseck,17,€500K,Germany,61,82,1. FC Köln
J. Dasilva,20,€1.3M,England,66,82,Bristol City
Y. Lenze,17,€190K,Germany,57,82,FC Schalke 04
A. Aidonis,17,€550K,Germany,62,82,VfB Stuttgart
Jonathan Viera,28,€22.5M,Spain,82,82,Beijing Sinobo Guoan FC
C. Smalling,28,€16M,England,81,82,Manchester United
Pascu,18,€925K,Spain,64,82,Valencia CF
A. Green,19,€1.9M,England,68,82,Portsmouth
Aleix García,21,€3.1M,Spain,70,82,Girona FC
L. Klostermann,22,€8M,Germany,75,82,RB Leipzig
Ontiveros,20,€5M,Spain,72,82,Málaga CF
R. Barkley,24,€16M,England,79,82,Chelsea
Casillas,37,€1.5M,Spain,82,82,FC Porto
J. Maja,19,€1.2M,England,65,82,Sunderland
Campaña,25,€15.5M,Spain,79,82,Levante UD
Unai Simón,21,€3.9M,Spain,72,82,Athletic Club de Bilbao
M. Kruse,30,€21.5M,Germany,82,82,SV Werder Bremen
J. Ward-Prowse,23,€12M,England,77,82,Southampton
L. Bittencourt,24,€16M,Germany,79,82,TSG 1899 Hoffenheim
Sancet,18,€1.6M,Spain,67,82,Athletic Club de Bilbao
M. Weiser,24,€10M,Germany,77,82,Bayer 04 Leverkusen
M. Holgate,21,€9M,England,76,82,Everton
C. Kramer,27,€17M,Germany,81,82,Borussia Mönchengladbach
Borja Iglesias,25,€12M,Spain,77,82,RCD Espanyol
Aduriz,37,€8M,Spain,82,82,Athletic Club de Bilbao
Oriol Busquets,19,€1.5M,Spain,67,82,FC Barcelona
J. Bogle,17,€650K,England,63,82,Derby County
K. Vogt,26,€17.5M,Germany,81,82,TSG 1899 Hoffenheim
R. Kent,21,€4.1M,England,71,82,Rangers FC
M. Tavernier,19,€975K,England,64,82,Middlesbrough
Carlos Fernández,22,€5M,Spain,72,82,Deportivo de La Coruña
Calero,22,€5.5M,Spain,73,82,Real Valladolid CF
Unai López,22,€9M,Spain,75,82,Athletic Club de Bilbao
J. Henderson,28,€18M,England,82,82,Liverpool
Róber,23,€7M,Spain,74,82,Levante UD
Cucurella,19,€3.4M,Spain,71,82,SD Eibar
K. Trippier,27,€18.5M,England,82,82,Tottenham Hotspur
Fran Beltrán,19,€7M,Spain,74,82,RC Celta
J. Vardy,31,€20M,England,82,82,Leicester City
R. Baku,20,€1.7M,Germany,67,82,1. FSV Mainz 05
Deulofeu,24,€18.5M,Spain,80,82,Watford
B. Brereton,19,€1.9M,England,68,82,Blackburn Rovers
O. Ejaria,20,€2M,England,69,82,Rangers FC
Melendo,20,€8.5M,Spain,74,82,RCD Espanyol
David Villa,36,€8M,Spain,82,82,New York City FC
A. Engin,21,€3.2M,Germany,70,82,MSV Duisburg
T. Edwards,19,€1M,England,65,82,Stoke City
S. Field,20,€1.7M,England,67,82,West Bromwich Albion
M. Wolf,23,€12M,Germany,77,82,Borussia Dortmund
T. Campbell,18,€950K,England,64,82,Stoke City
Toni Villa,23,€6M,Spain,73,82,Real Valladolid CF
R. Massimo,17,€1.1M,Germany,65,82,DSC Arminia Bielefeld
M. Ginter,24,€15.5M,Germany,80,82,Borussia Mönchengladbach
M. Clarke,21,€1.8M,England,69,82,Portsmouth
P. Roberts,21,€8.5M,England,74,82,Girona FC
Chumi,19,€1M,Spain,65,82,FC Barcelona
S. Serdar,21,€8M,Germany,74,82,FC Schalke 04
Eric García,17,€550K,Spain,62,82,Manchester City
Guillamón,18,€475K,Spain,61,81,Valencia CF
B. Pearson,23,€8M,England,75,81,Preston North End
Robert,17,€500K,Spain,61,81,Real Betis
Rafa Mir,21,€3.1M,Spain,70,81,UD Las Palmas
A. Appiah,17,€280K,England,58,81,Nottingham Forest
Álvaro Jiménez,23,€8M,Spain,74,81,Real Sporting de Gijón
S. Asta,17,€400K,Germany,60,81,FC Augsburg
Y. Dhanda,19,€800K,England,63,81,Swansea City
Pablo Ramón,17,€400K,Spain,60,81,RCD Mallorca
Junior Firpo,21,€8.5M,Spain,76,81,Real Betis
L. Plogmann,18,€400K,Germany,60,81,SV Werder Bremen
Pedro León,31,€15.5M,Spain,81,81,SD Eibar
G. McEachran,17,€350K,England,59,81,Chelsea
Melero,24,€8M,Spain,75,81,SD Huesca
Ayoze Pérez,24,€10.5M,Spain,76,81,Newcastle United
Miranda,18,€1.2M,Spain,66,81,FC Barcelona
T. Chalobah,18,€1.2M,England,66,81,Ipswich Town
Capa,26,€10.5M,Spain,78,81,Athletic Club de Bilbao
L. Mühl,21,€1.7M,Germany,69,81,1. FC Nürnberg
Óscar,20,€1.7M,Spain,68,81,CD Leganés
N. Chalobah,23,€8.5M,England,76,81,Watford
Rubén Duarte,22,€8.5M,Spain,76,81,Deportivo Alavés
P. Max,24,€11M,Germany,78,81,FC Augsburg
J. Torunarigha,20,€2.7M,Germany,70,81,Hertha BSC
D. Rose,27,€14.5M,England,81,81,Tottenham Hotspur
Iván Alejo,23,€10.5M,Spain,76,81,Getafe CF
K. Akpoguma,23,€8M,Germany,75,81,TSG 1899 Hoffenheim
Borja Valero,33,€11M,Spain,81,81,Inter
J. Wilshere,26,€15M,England,79,81,West Ham United
L. Dunk,26,€11M,England,78,81,Brighton & Hove Albion
T. Baumgartl,22,€8.5M,Germany,76,81,VfB Stuttgart
A. Barkok,20,€1.9M,Germany,69,81,Fortuna Düsseldorf
Sandro,22,€9.5M,Spain,75,81,Real Sociedad
Joaquín,36,€6M,Spain,81,81,Real Betis
H. Mukhtar,23,€8M,Germany,74,81,Brøndby IF
J. Harrison,21,€3.1M,England,70,81,Leeds United
Adrián Marín,21,€4.1M,Spain,72,81,Deportivo Alavés
Alex Berenguer,22,€10.5M,Spain,76,81,Torino
P. Ochs,21,€1.4M,Germany,66,81,Aalborg BK
C. Connolly,20,€1.5M,England,68,81,Wigan Athletic
J. Clarke-Salter,20,€1.7M,England,69,81,Vitesse
Portu,26,€17.5M,Spain,80,81,Girona FC
J. Eggestein,20,€1.7M,Germany,67,81,SV Werder Bremen
D. Mitchell,21,€1.5M,England,68,81,Heart of Midlothian
Hugo Mallo,27,€13.5M,Spain,80,81,RC Celta
Vitolo,28,€18M,Spain,81,81,Atlético Madrid
M. Schubert,20,€1.4M,Germany,68,81,SG Dynamo Dresden
Dani Raba,22,€8M,Spain,74,81,Villarreal CF
J. Milner,32,€13.5M,England,81,81,Liverpool
Ander Herrera,28,€17.5M,Spain,81,81,Manchester United
M. Cash,20,€3.1M,England,70,81,Nottingham Forest
Marc Navarro,22,€6.5M,Spain,74,81,Watford
Ivi,24,€9M,Spain,75,81,Real Valladolid CF
F. Evina,17,€725K,Germany,63,81,FC Bayern München
Jason,23,€9M,Spain,75,81,Levante UD
M. Uth,26,€17.5M,Germany,80,81,FC Schalke 04
M. Mittelstädt,21,€2.7M,Germany,70,81,Hertha BSC
F. Passlack,20,€1.6M,Germany,69,81,Norwich City
B. Höwedes,30,€13M,Germany,81,81,Lokomotiv Moscow
N. Schulz,25,€14.5M,Germany,80,81,TSG 1899 Hoffenheim
J. Bowen,21,€3.8M,England,71,81,Hull City
José Lara,18,€1.3M,Spain,66,81,Sevilla FC
L. Stindl,29,€18M,Germany,81,81,Borussia Mönchengladbach
Edu Expósito,21,€3M,Spain,70,81,Deportivo de La Coruña
D. Otto,19,€650K,Germany,62,81,TSG 1899 Hoffenheim
Nacho Méndez,20,€1.7M,Spain,68,81,Real Sporting de Gijón
C. Teuchert,21,€1.7M,Germany,68,81,FC Schalke 04
L. Maina,19,€1.7M,Germany,68,81,Hannover 96
T. Oakley-Boothe,18,€925K,England,64,81,Tottenham Hotspur
Zubeldia,21,€8M,Spain,74,81,Real Sociedad
Lucas Torró,23,€7M,Spain,74,81,Eintracht Frankfurt
Morales,30,€17M,Spain,81,81,Levante UD
O. Watkins,22,€8M,England,74,81,Brentford
Camacho,28,€13.5M,Spain,80,81,VfL Wolfsburg
C. Wilson,26,€15.5M,England,79,81,Bournemouth
Medrán,24,€9M,Spain,75,81,Rayo Vallecano
Ronaldo Vieira,19,€4M,England,72,81,Sampdoria
D. Kohr,24,€10M,Germany,77,81,Bayer 04 Leverkusen
Pelayo Morilla,16,€725K,Spain,63,81,Real Sporting de Gijón
Borja Llarena,19,€975K,Spain,64,81,CD Tenerife
K. Trapp,27,€11.5M,Germany,80,81,Eintracht Frankfurt
David Juncà,24,€8.5M,Spain,76,81,RC Celta
K. Bellarabi,28,€18M,Germany,81,81,Bayer 04 Leverkusen
S. Bender,29,€14M,Germany,81,81,Bayer 04 Leverkusen
Pozo,22,€8M,Spain,74,81,Rayo Vallecano
B. Mumba,16,€190K,England,55,80,Sunderland
Berrocal,18,€1.2M,Spain,66,80,Sevilla FC
S. Çetin,17,€300K,Germany,59,80,Eintracht Frankfurt
J. Stephens,24,€6.5M,England,74,80,Southampton
J. Burkardt,17,€500K,Germany,61,80,1. FSV Mainz 05
B. Gibson,25,€6.5M,England,74,80,Burnley
K. Sessa,17,€400K,Germany,60,80,1. FC Heidenheim 1846
N. Clyne,27,€11.5M,England,79,80,Liverpool
M. Daly,17,€325K,England,59,80,Huddersfield Town
C. Schindler,28,€10M,Germany,78,80,Huddersfield Town
Dani Sandoval,20,€675K,Spain,62,80,Real Oviedo
Juanfran,33,€5.5M,Spain,80,80,Atlético Madrid
J. Clarke,17,€500K,England,61,80,Leeds United
F. Tomori,20,€1.6M,England,69,80,Derby County
A. Wilson,18,€230K,England,57,80,Newcastle United
H. Choudhury,20,€1.6M,England,69,80,Leicester City
Manu Vallejo,21,€1.4M,Spain,66,80,Cádiz CF
G. Jung,23,€4.8M,Germany,73,80,Hamburger SV
F. Delph,28,€11.5M,England,80,80,Manchester City
Gonzalo Villar,20,€1.6M,Spain,68,80,Elche CF
Luis Milla,23,€4.8M,Spain,73,80,CD Tenerife
A. Armstrong,21,€1.6M,England,68,80,Blackburn Rovers
J. Beyer,18,€675K,Germany,63,80,Borussia Mönchengladbach
Bruno,34,€7M,Spain,80,80,Villarreal CF
J. O'Connell,24,€4.8M,England,73,80,Sheffield United
C. Goldson,25,€4.8M,England,73,80,Rangers FC
S. Ulreich,29,€10M,Germany,80,80,FC Bayern München
Reguilón,21,€1.4M,Spain,68,80,Real Madrid
K. Walker-Peters,21,€1.6M,England,69,80,Tottenham Hotspur
P. Jones,26,€12M,England,79,80,Manchester United
Oriol Romeu,26,€10.5M,Spain,78,80,Southampton
D. Demme,26,€12M,Germany,79,80,RB Leipzig
Iñigo Martínez,27,€12M,Spain,79,80,Athletic Club de Bilbao
W. Rooney,32,€12M,England,80,80,DC United
David Soria,25,€9M,Spain,78,80,Getafe CF
Roger,27,€14.5M,Spain,79,80,Levante UD
M. Gómez,32,€12M,Germany,80,80,VfB Stuttgart
S. Rudy,28,€12M,Germany,80,80,FC Schalke 04
J. Hofmann,25,€15M,Germany,79,80,Borussia Mönchengladbach
Susaeta,30,€14M,Spain,80,80,Athletic Club de Bilbao
C. Gribbin,19,€1.2M,England,65,80,Manchester United
Jordi Amat,26,€8.5M,Spain,76,80,Rayo Vallecano
Fernando Torres,34,€8M,Spain,80,80,Sagan Tosu
G. Cahill,32,€8.5M,England,80,80,Chelsea
Guaita,31,€9M,Spain,80,80,Crystal Palace
Iago Falqué,28,€15M,Spain,80,80,Torino
Toni Martínez,21,€1.4M,Spain,66,80,CF Rayo Majadahonda
N. Hauptmann,22,€2.9M,Germany,70,80,1. FC Köln
Canales,27,€15.5M,Spain,80,80,Real Betis
Mario Gaspar,27,€12M,Spain,80,80,Villarreal CF
Aritz Elustondo,24,€8.5M,Spain,76,80,Real Sociedad
D. Didavi,28,€15M,Germany,80,80,VfB Stuttgart
J. Shelvey,26,€12.5M,England,78,80,Newcastle United
Diego López,36,€2M,Spain,80,80,RCD Espanyol
Sergi Enrich,28,€15.5M,Spain,80,80,SD Eibar
Omar Mascarell,25,€10.5M,Spain,78,80,FC Schalke 04
Cristian Tello,26,€16M,Spain,80,80,Real Betis
Jesús Navas,32,€11.5M,Spain,80,80,Sevilla FC
Diego Rico,25,€8M,Spain,76,80,Bournemouth
Francis,22,€9M,Spain,75,80,Real Betis
C. Walton,22,€2.2M,England,70,80,Wigan Athletic
Raúl García,31,€13M,Spain,80,80,Athletic Club de Bilbao
B. Schweinsteiger,33,€6M,Germany,80,80,Chicago Fire
Moyá,34,€6M,Spain,80,80,Real Sociedad
E. Konsa,20,€1.6M,England,69,80,Brentford
R. Koch,21,€4M,Germany,72,80,SC Freiburg
Jorge Sáenz,21,€2.5M,Spain,70,80,CD Tenerife
Kuki Zalazar,20,€1M,Spain,64,80,Real Valladolid CF
D. Sturridge,28,€15.5M,England,80,80,Liverpool
Sergio López,19,€875K,Spain,64,80,Real Madrid
Santi Cazorla,33,€8.5M,Spain,80,80,Villarreal CF
J. Whatmough,22,€1.3M,England,67,80,Portsmouth
Beñat,31,€12.5M,Spain,80,80,Athletic Club de Bilbao
F. Downes,19,€950K,England,64,80,Ipswich Town
Martín,22,€7.5M,Spain,75,80,Deportivo Alavés
D. Yearwood,18,€925K,England,64,80,Southend United
A. Dozzell,19,€950K,England,64,80,Ipswich Town
E. Löwen,21,€2.5M,Germany,70,80,1. FC Nürnberg
Pedraza,22,€9M,Spain,75,80,Villarreal CF
R. Oxford,19,€1.3M,England,67,80,West Ham United
Víctor Fernández,20,€800K,Spain,63,80,Newcastle United
Guillem Jaime,19,€975K,Spain,64,80,FC Barcelona
S. Johnstone,25,€6.5M,England,75,80,West Bromwich Albion
Y. Gerhardt,24,€6.5M,Germany,74,80,VfL Wolfsburg
M. Kempf,23,€6.5M,Germany,74,80,VfB Stuttgart
I. Brown,21,€2.9M,England,70,80,Leeds United
Nacho Monreal,32,€8M,Spain,80,80,Arsenal
J. Murphy,23,€4.6M,England,72,80,Newcastle United
A. Lallana,30,€13.5M,England,80,80,Liverpool
R. Zieler,29,€10M,Germany,79,80,VfB Stuttgart
Pol Lirola,20,€6.5M,Spain,74,80,Sassuolo
E. Abouchabaka,18,€750K,Germany,63,80,SpVgg Greuther Fürth
L. Öztunalı,22,€7.5M,Germany,74,80,1. FSV Mainz 05
Sergi Samper,23,€4.8M,Spain,73,80,FC Barcelona
