ï»¿SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE CITY,DEPARTURE STATE,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
S.S.A J Hoole,,,schooner,,,12/19/1902,1902,12,19,Spermaceti Cove LSS S 1 mi,,,Grounded,,,,,,21,,"New York, NY",Jersey City,NJ,"Seabright, NJ",Radgan,3,0,0,"$1,000",,None,Spermaceti Cove,N,N,Partial loss; Refloated,
S.S.A L & M Townsend,George White,,schooner,1871,"Barnegat, NJ",12/30/1888,1888,12,30,Little Egg LSS S 2 mi,,,Grounded,Wood,US,61.6,21.5,5.3,42.27,40.16,"Somers Point, NJ",New York,NY,"Atlantic City, NJ",Booy,3,,,"$1,500",$200,Brick,Little Egg,N,N,#106349; Refloated,
S.S.A L Lee (1897),,,schooner,1884,"Mays Landing, NJ",3/25/1897,1897,3,25,Ocean City LSS E .5 mi,,,Stranded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ",Somers Point,NJ,"Haverstraw, NY",Gaskill,5,,0,"$5,000",$0,None,Ocean City,N,N,#106301; Refloated,
S.S.A L Lee (1898),,,schooner,1884,"Mays Landing, NJ",8/26/1898,1898,8,26,Absecon bar,,,Grounded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ",Haverstraw,NY,"Atlantic City, NJ",Gaskill,6,,0,"$3,000",$500,Bricks,Absecon & Atlantic City,N,N,#106301; Refloated,
S.S.A L Lee (1902),,,schooner,1884,"Mays Landing, NJ",12/10/1902,1902,12,10,Absecon bar,,,Grounded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ",Haverstraw,NY,"Atlantic City, NJ",Gaskill,4,,0,"$5,000",$650,Bricks,Absecon & Atlantic City,Y,N,#106301; Total loss,
S.S.A Lincoln,,,schooner,1865,"Essex, MA",10/12/1891,1891,10,12,Barnegat,,,Damaged in gale,,,65,18.8,6.7,46.76,44.42,"Provincetown, MA",,,Fishing trip,,10,0,1,,,Fish,,,N,#472,
S.S.A M C Smith,,,schooner,,,10/13/1876,1876,10,13,Green Island LSS N .25 mi,39-36-00 N,74-12-06 W,Stranded,,,,,,44.55,,"New London, CT",New York,NY,Fishing trip,A W Rogers,8,,0,"$4,000",,None,Green Island #12,N,N,#1711; Refloated,
S.S.A M Lee,,G H Newhall,schooner,1864,"Tuckahoe, NJ",10/12/1885,1885,10,12,Highlands SE .5 mi,,,Dismasted in storm,Wood,US,108.9,29,9.1,267.58,254.21,"Provincetown, MA",Philadelphia,PA,"Bridgeport, CT",Plummer,4,,0,,,Coal,,Y,N,#503; Sank while in tow,
S.S.A P Nowell,,Thomas Winsmore,schooner,1874,"Milton, DE",8/3/1886,1886,8,3,Cape May,,,"Collision w/ ""Josephine""",Wood,US,116,30.8,9,241.11,,"Philadelphia, PA",Philadelphia,PA,"Lynn, MA",James C Crowell,5,1,0,"$10,000","$1,000",388 ton coal,,N,N,#105412; Partial loss; Towed to NY,
S.S.A Pardee,,,schooner,,,3/16/1875,1875,3,16,Little Egg Harbor,,,Grounded,,,,,,300,,"New Brunwick, NJ",,,,Nicholson,5,0,0,"$16,000","$2,000",Coal,Little Egg Harbor,N,N,Refloated,
S.S.A T Coleman,,,schooner,1865,"Talbot City, MD",1/20/1901,1901,1,20,Atlantic City,,,Stranded,,,76.1,23.4,6.1,66,63,"Baltimore, MD",New Bern,NC,"Atlantic City, NJ",Benjamin B Sharp,4,0,0,"$1,800",$800,Lumber,Atlantic City,Y,N,#22033; Total loss,
S.S.Abbie E Campbell,,Maxon Fish et al,schooner,1866,"Mystic, CT",9/14/1873,1873,9,14,Brigantine Shoal,,,Stranded,,,,,12,332,,"Mystic, CT",Georgetown,DC,"New York, NY",Dennison,,,,"$12,000",,500 ton coal,,Y,N,Total loss,
S.S.Abbie H Gheen,,E G Taulane,schooner,1880,,6/27/1900,1900,6,27,Manasquan Inlet,,,"Collision w/ ""Manna-Hatta""",Wood,,128,30.8,9,266,253,"Philadelphia, PA",Norfolk,VA,"New York, NY",John Taylor,6,,0,"$8,000",,Lumber,,,N,#105952,
S.S.Abbie M Deering,,,schooner,1883,,4/29/1885,1885,4,29,,,,Stranded,,,,,,101.3,96.25,"Portland, ME",,,,Greenlert,17,,0,"$7,000",$200,Ice,,,N,#106152,
S.S.Abbie Pitman,,,schooner,1866,,10/17/1879,1879,10,17,,,,Collision,,US,107,28,13,288,,"Marblehead, MA",,,"Philadelphia, PA",Robinson,,,,,,Sugar,,,N,,
S.S.Abbie S Walker,,,schooner,1883,"Jonesborough, ME",4/21/1888,1888,4,21,Hereford Inlet North bar,,,Stranded,Wood,,103.7,28.7,8.5,190.74,181.21,"North Haven, ME",Vinalhaven,ME,"Philadelphia, PA",Dobbins,6,0,0,"$12,000","$4,000",Granite,Hereford Inlet,N,N,"#106218; Refloated, no damage",
S.S.Abby,,,schooner,,,3/4/1853,1852,3,4,Cape May,,,Stranded; bilged in storm,,,,,,,,,,,,,,,,,,In ballast,,Y,N,Total loss,
S.S.Abby K Bentley,,Bentley Gildersleeve & Co,schooner,1872,"Hartford, CT",3/25/1885,1885,3,25,Squan Beach,,,Sprung foremast,,,133,32,9,286,286,"Portland, ME",Boothbay,ME,"Petersburg, VA",,,,,,,,,,N,#105189,
S.S.Abby L Dow (1887),,E Coon,schooner,1870,"Tuckahoe, NJ",11/17/1887,1887,11,17,Hereford Inlet,,,"Collision w/ ""H S Lanfair""",Wood,,120.2,30.5,9.5,347.5,330.13,"Philadelphia, PA",Rondout,NY,"Philadelphia, PA",M G Townsend,6,0,0,"$4,000",$900,500 ton cement,,N,N,#1945; Partial loss,
S.S.Abby L Dow (1893),,Philip Young,schooner,1870,"Tuckahoe, NJ",12/8/1893,1893,12,8,Hereford Inlet bar,,,Stranded,Wood,,120.2,30.5,9.5,347.5,330.13,"Philadelphia, PA",Rockport,ME,"Philadelphia, PA",Douglas,6,,0,"$2,500","$1,800",Stone,Hereford Inlet & Tathaus,Y,N,#1945; Total loss,
S.S.Abby Whitman,,,schooner,1854,"Boston, MA",1/21/1855,1855,1,21,Little Egg Harbor,,,Grounded,Wood,US,,,,235,235,"Boston, MA",Savannah,GA,"Philadelphia, PA",,,,,,,,,,N,,
S.S.Abel C Buckley,,G P Buckley,schooner,1869,"Greenport, NY",10/19/1879,1879,10,19,Barnegat,,,Damaged in storm,,,105,29,10.6,288,,,,,,Young,,,,,,,,N,N,Partial damage,
S.S.Abigail Haley,,Haley & Co.,schooner,1860,"Mauricetown, NJ",1/18/1868,1868,1,18,Squan Inlet S 3 mi,,,Grounded,,,,,11,,267,,,,,W Haley,,,,"$20,000",,,,N,N,"Refloated; Incorrectly called ""Abigail Henry"" ",
S.S.Achorn,,,schooner,,,3/18/1880,1880,3,18,Absecon E 9 mi,,,"Collision w/ ""Maria and Elizabeth""",,,,,,87.4,,"Trenton, NJ",,,,,4,0,1,,,,Stone Harbor #35 & Hereford Inlet #36,Y,N,#105378; Sank,
S.S.Adair F Bonney,,,schooner,,,11/13/1875,1875,11,13,Barnegat,,,Lost at Sea,,US,,,,200.83,,,Perth Amboy,NJ,"Richmond, VA",,7,0,7,,,Coal,,Y,N,Total loss,
S.S.Addie,,,schooner,1883,"Wilmington, DE",4/3/1886,1886,4,3,Cold Spring Inlet South bar,,,Stranded,,,41.5,15.2,4.2,16.67,15.84,"Wilmington, DE",Indian River,DE,"Cape May, NJ",Tunnel,2,,,"$1,000",$400,Corn & lumber,Cold Spring,,N,#106183,
S.S.Addie Harris,,,schooner,,,3/20/1866,1866,3,20,Corsons Inlet,,,Stranded,,,,,,,,,New York,NY,"Philadelphia, PA",,,,,,,Gravel,,N,N,Refloated,
S.S.Addie Jordan,,,schooner,1873,"Saco, ME",12/14/1907,1907,12,14,Squan Beach N 5 mi,,,Stranded,Wood,US,132.3,31.6,9.5,376,357,"Norfolk, VA",Norfolk,VA,"New York, NY",Cramer,2,,0,"$2,000","$14,000",Lumber,Squan Beach #8,Y,N,#105245; Total loss,
S.S.Addie P McFadden,,,schooner,1890,"Bath, ME",4/10/1894,1894,4,10,Ocean City LSS NW .75 mi,,,Stranded,,,125.2,30.1,8.1,251.8,239.21,"Bath, ME",Boothbay,ME,"Ocean City, NJ",Stewart,6,,0,"$14,000",$300,Ice,Ocean City,,N,#106750,
S.S.Addie Schlaefer,,L H Hopkins,schooner,1874,"Port Jefferson, NY",3/27/1877,1877,3,27,Cold Spring Inlet South bar,,,Stranded,,,105.6,28.6,8.5,178,,"New York, NY",Norfolk,VA,"New York, NY",E A Deacon,6,,0,"$7,000","$6,000",9000 bushels Corn,Cape May #39,N,N,#105337; Refloated,
S.S.Addie Walton,,,schooner,,,9/16/1876,1876,9,16,,,,"Collision w/ ""Light Brigade""",,,,,,,,"Philadelphia, PA",Philadelphia,PA,"Boston, MA",,,,1,,,Coal,,Y,N,Sank,
S.S.Adelaide (1840),,,schooner,,,2/23/1840,1840,2,23,Sickles Creek,,,Stranded/Broke up,,,,,,,,,Dominica,,Nova Scotia,,,,,,,,,,N ,,
S.S.Adelaide (1841),,,schooner,,,11/14/1841,1841,11,14,Brigantine Beach,,,Leaking,,,,,,,,"Tuckerton, NJ",Tuckerton,NJ,"Sing Sing, NY",,,,,,,Coal,,Y,N ,Sank,
S.S.Adelaide (1870),,,schooner,1853,"Cape May, NJ",1/4/1870,1870,1,4,Barnegat,,,"Collision w/ ""Shakespeare""",,,,,9,143,,"Somerset, NJ",Somerset,NJ,"Baltimore, MD",,,,,,,In ballast,,,N,Abandoned,
S.S.Adele Lindell,,,schooner,,,4/30/1885,1885,4,30,Tuckerton Shoal,,,Stranded,,,,,,,,,,,,Fidler,,,,,,,,N,N,Refloated,
S.S.Adele Trudell,,Frank Smith et al,schooner,1870,,11/24/1891,1891,11,24,Sandy Hook Romer Shoal,,,Stranded in storm,Wood,,,,,157,,"Camden, NJ",Cape May,NJ,"New York, NY",Roopey,8,,0,"$2,000",$310,Sand,Sandy Hook,Y,N,#944; Total loss,
S.S.Adelia B,,,schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,Stranded,,,,,,50.72,,"Great Egg Harbor, NJ",New York,NY,"Somers Point, NJ",,,,,,,,,Y,N,#507; Total loss,
S.S.Adelia Burley,Adelia B,,schooner,,,4/15/1874,1874,4,15,Great Egg Harbor bar,,,Stranded,,,,,,50.72,,"Great Egg Harbor, NJ",New York,NY,"Somers Point, NJ",,4,,,,,Oysters,,Y,N,#507; Total loss,
S.S.Adelia Hodgkins,,,schooner,,,3/6/1877,1877,3,6,Egg Harbor,,,,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Adeline Baxter,,Jacob Baxtor,schooner,,,11/2/1877,1877,11,2,Corsons Inlet S .5 mi,,,Stranded in storm,,,,,,,55,,Verplank Point,NY,"Millville, NJ",Rodgers,4,,0,,,85 tons of limestone,,,N,#105954,
S.S.Adeliza,,,schooner,,,1/13/1877,1877,1,13,Sandy Hook,,,Crushed in ice,,US,,,,,,"New York, NY",New York,NY,"St Domingo, Dom Republic",Libby,,,,,,,,N,N,Towed back to Brooklyn,
S.S.Adrian ,,,schooner,,,5/12/1855,1855,5,12,Delaware Bay,,,"Collision w/ ""Keystone State""",,,,,,,,,Philadelphia,PA,"Fall River, MA",,5,0,2,,,Coal,,Y,N,Sank in 15 minutes,
S.S.Advent,,,schooner,,,5/9/1851,1851,5,9,Delaware Capes,,,Grounded,,,,,,,,"Augusta, GA",Boston,MA,"Savannah, GA",Rowe,,,,,,Ice,,Y,N,Total loss,
S.S.Adventure (1762),,,schooner,,,10/8/1762,1762,10,8,Barnegat,,,Stranded,Wood,US,,,,,,"New London, CT",St Martins,WI,"New London, CT",Ashcroft,,,0,,,Salt,,,N,,
S.S.Agnes (1885),,,schooner,,,3/27/1885,1885,3,27,Sandy Hook Romer Shoal,,,Stranded,,,,,,,,"South Amboy, NJ",Barren Island,NY,"South Amboy, NJ",Lowery,,,,,,,,N,N,Towed to Red Hook,
S.S.Aid (1876),,,schooner,,,9/17/1876,1876,9,17,Maurice River Flats,,,Stranded,,,,,,,,,Philadelphia,PA,"Fall River, MA",,,,1,,,Coal,,,N,Captain's wife lost,
S.S.Alabama,,,schooner,,,2/15/1846,1846,2,15,Squan Inlet S 1 mi,40-05-20 N,74-02-00 W,Stranded in gale,,,,,,,,,Philadelphia,PA,"New York, NY",Nicholson,7,0,7,,,"Hides, spices, iron",,Y,N,"Crew, ship, cargo lost ",
S.S.Albemarle (1856),,,schooner,,,12/15/1856,1856,12,15,Sandy Hook Inside,,,Stranded,,,,,,,,"Pantego, NC",Providence,RI,"New York, NY",,,,0,,,,,,N,,
S.S.Albemarle (1866),,,schooner,,,3/24/1866,1866,3,24,Seven Mile Beach,39 04 00 N,74 44 00 W,,,,,,,,,"Boston, MA",Boston,MA,,,5,,,,,In Ballast,,,N,,
S.S.Albert (1837),,,schooner,,,5/12/1837,1837,5,12,Cape May E 30 mi,,,"Collision w/ ""Talley Ho""",,,,,,,,"Barnstable, MA",Boston,MA,"Fredericksburg, VA",,,,0,,,Molasses,,,N,,
S.S.Albert H Waite (1885),,J. Winslow & Co,schooner,1873,"Pembroke, MA",10/12/1885,1885,10,12,Barnegat Inlet SE 25 mi,38-05-08 N,73-05-30 W,Foundered in gale,,,114,29,13.8,294,,"Portland, ME",Philadelphia,PA,"New Bedford, MA",George A. Moore,,,,,,Coal & Lumber,,N,N,#105271; Partial loss,
S.S.Albert H Waite (1887),,John Musgrave,schooner,1873,"Pembroke, MA",3/12/1887,1887,3,12,At sea,,,Foundered; Abandoned,,,114,29,13.8,294,,"Philadelphia, PA",Philadelphia,PA,"New Bedford, MA",George A. Moore,,,0,,,Coal,,Y,N,"#105271; Total loss; Crew saved by ""Decatur H Miller""",
S.S.Albert Mason,,,schooner,1861,"Patchogue, NY",1/7/1891,1891,1,7,Holly Beach SE 4 mi,,,In distress,,,114.6,30.1,9.1,285.71,271.43,"New York, NY",Chickahominy River,VA,"New York, NY",Gale,6,,0,"$8,000","$2,000",Railroad ties,Holly Beach,N,N,#742; Repaired,
S.S.Albert Vinal,,,schooner,,,12/18/1852,1852,12,18,Sandy Hook E 40 mi,,,Foundered in gale,,,,,,,,"Portland, ME",Philadelphia,PA,"Portland, ME",Anderson,,,,,,,,Y,N,Total loss,
S.S.Albert W Smith,,,schooner,1873,"Kennebunk, ME",4/11/1894,1894,4,11,Squan Beach NE .25 mi,,,Stranded,,,145,35,17,602,572,,Philadelphia,PA,"Providence, RI",Berry,8,,8,"$12,000","$3,500",Coal,,,N,#105288,
S.S.Alberta,,,schooner,1882,"Baltimore, MD",10/12/1911,1911,10,12,Little Egg Harbor S 1 mi,,,Grounded,,,78.2,25.3,6.3,77,73,"Chincoteague, VA",York River,VA,"New York, NY",,4,0,0,"$3,000",$640,Lumber,Little Egg & Little Beach,N,N,#106113; Refloated,
S.S.Albion (1847),,,schooner,,,8/1847,1847,8,,Sandy Hook,,,Stranded,,,,,,,,,Picton,NS,"New York, NY",,5,0,0,,,,,Y,N,Total loss,
S.S.Albion (1857),,,schooner,,,9/1857,1857,9,,Sandy Hook,,,Stranded,,,,,,,,,Calais,France,"Philadelphia, PA",,,,,"$3,000",,,,Y,N,Total loss,
S.S.Alexander Wiley,,,schooner,,,5/6/1878,1878,5,6,Little Egg Harbor LSS S 1 mi,,,Stranded,,,,,,64.83,,"Baltimore, MD",New Haven,CT,"Baltimore, MD",Beecher,4,0,0,"$3,000",,None,Little Egg #23,N,N,#1663; Refloated,
S.S.Alfred Hall,,G P Wright,schooner,1854,"Perth Amboy, NJ",1/23/1871,1871,1,23,Little Egg Harbor,,,Stranded,,,,,6,60,,"Baltimore, MD",,,"New York, NY",Croft,5,0,6,,,,#17,,N ,,
S.S.Alice (1841),,,schooner,,,12/1841,1841,12,,Highlands Light N,,,Stranded,,US,,,,,,"Plymouth, MA",,,,,,,,,,,,,N,Crew lost,
S.S.Alice B (1889),,,schooner,1863,"Cleveland, OH",4/30/1889,1889,4,30,Hereford Inlet North bar,,,Stranded,Wood,US,124,25.5,9.4,227.14,215.78,"Barnstable, MA",Rondout,NY,"Wilmington, DE",Fisher,5,0,0,"$4,000","$5,000",Cement,,N,N,#1459; Refloated,
S.S.Alice B (1890),,,schooner,1863,"Cleveland, OH",3/29/1890,1890,3,29,Absecon,,,Collision,Wood,US,124,25.5,9.4,227.14,215.78,"Barnstable, MA",,,,,,,,,,,,Y,N,#1459; Sank,
S.S.Alice Belle,,,schooner,1877,"Bath, ME",5/16/1896,1896,5,16,Ocean City LSS E 1.25 mi,,,Stranded,,US,127,32,8,277,264,"New London, CT",Gardiner,ME,"Ocean City, NJ",Chadwick,6,0,0,"$3,500",$800,Ice,Ocean City,,N,#105156,
S.S.Alice Hearn,,W S Hudson,schooner,1880,"Milton, DE",9/11/1882,1882,9,11,Sandy Hook,,,Heavy Gale,,US,,,,347.42,,"Philadelphia, PA",Baltimore,MD,"Boston, MA",Reuben H Pennewill,,,,"$20,000","$2,200",Coal,,,N,#105903,
S.S.Alice L Pearce,,,schooner,,,11/23/1876,1876,11,23,,,,Stranded,,US,,,,75,40.72,"Squan, NJ",Pamunkey River,VA,"New York, NY",Green,6,0,0,"$5,000","$6,000",Tomatoes,Little Egg,N,N,#1725; Refloated,
S.S.Alice Lee,,,schooner,,,12/14/1859,1859,12,14,Squan Inlet S 2 mi,,,Stranded,Wood,US,,,,,,,Boston,MA,"Philadelphia, PA",Foster,,,0,,,In Ballast,,,N,,
S.S.Alice M Lewis,,Jesse Lewis,schooner,1869,"Essex, MA",4/11/1879,1879,4,11,Townsends Inlet North bar,,,Stranded,,US,73.5,21,7.5,67,,"Gloucester, MA",Gloucester,MA,,Jesse Lewis,12,0,0,"$4,000","$1,500","Ice, Salt",Townsends Inlet,,N,#1794; $750 of cargo recovered,
S.S.Alice M Ridgway (1868),,,schooner,1864,"Tuckerton, NJ",3/20/1868,1868,3,20,Cape May Fishing Creek,,,Stranded; Capsized,Wood,US,53,19.4,4.6,26.08,24.78,"Tuckerton, NJ",Cape May,NJ,"Philadelphia, PA",Thomas McKean,4,0,4,"$1,600",,Gravel,,,N,#521; Refloated; Repaired,
S.S.Alice M Ridgway (1877),,,schooner,1864,"Tuckerton, NJ",2/14/1877,1877,2,14,Cold Spring Inlet South bar,,,Stranded,Wood,US,53,19.4,4.6,26.08,24.78,Cape May. NJ,Philadelphia,PA,"Cape May, NJ",Cresse,3,0,0,"$1,600",$160,Coal,Cape May #39,N,N,#521,
S.S.Alicia B Crosby,,E.S. Crosby,schooner,1889,"Bath, ME",1/31/1911,1911,1,31,Avalon LSS ENE 1.5 mi,,,Stranded,,US,204.4,40.3,18.5,113.58,101.7,"Bath, ME",Portland,ME,"Philadelphia, PA",George W Bunker,10,0,0,"$50,000",,None,Avalon,N,N,#106682; Refloated,
S.S.Alknamook,,,schooner,,"New London, CT",1/4/1876,1876,1,4,"Long Branch, NJ",,,Stranded,,,,,,40,,,New York,NY,Fishing Banks,,6,,0,"$4,000",$0,None,#4,,N,,
S.S.Allen Osborn,,,schooner,,,1838 - 1878,1860,,,Barnegat Inlet N 1-2 mi,,,Stranded,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Allie B Cathrall,,,schooner,1885,"Milford, DE",11/16/1893,1893,11,16,Absecon Inlet,,,Grounded,Wood,US,97.3,26.2,6.3,108.95,103.51,"Wilmington, DE",New York,NY,"Atlantic City, NJ",Hubbard,5,,0,"$5,000",$750,Lumber,,N,N,#106343; Refloated,
S.S.Allie Bickmore,,,schooner,,,7/12/1874,1874,7,12,Long Beach Island,,,Stranded,,,,,,,,,,,,,,,,,,Corn,,,Y,,
S.S.Altavela,,Rufus C Wells,schooner,1853,"Searsport, ME",5/2/1884,1884,5,2,Barnegat LSS ENE 1 mi,,,Stranded,,,102.2,27.6,8.2,183,,"Brooklin, ME",Blue Hill,ME,"Washington, DC",Wells,5,,0,"$3,000","$2,000",Stone,Barnegat,Y,N,#211; Total loss,
S.S.Altavelia,,Allen C Holt,schooner,1870,"Ellsworth, ME",11/6/1866,1866,11,6,Delaware Capes N 10 mi,,,Capsized in gale,,,98,27.8,7.2,119,,"Ellsworth, ME",,,,,,,0,,,1000 bbls fish oil,,Y,N,#1957; Crew saved,
S.S.Amazon,,,schooner,,,4/26/1851,1851,4,26,Barnegat NE 8 mi,,,"Collision w/ ""Kenebec""",,,,,,,,"Philadelphia, PA",New York,NY,"Philadelphia, PA",Steelman,,,,,,In ballast,,Y,N,Total loss,
S.S.Amelia (1870),,,schooner,,,2/11/1870,1870,2,11,Sandy Hook,,,Collision,,,,,,,,,New York,NY,Virginia,,,,,,,,,N,N,Towed to NY for repairs,
S.S.Amelia Furman,,,schooner,,,11/28/1902,1902,11,28,"Long Branch, NJ",,,"Pucntured, Bilged at anchor",,,,,,,,,,,,,4,,0,,,,Long Branch,Y,N,,
S.S.Amelia Hodgkins,,,schooner,,,3/3/1877,1877,3,3,Egg Harbor,,,Lost sails and masthead,,,,,,,,,Chesapeake,,"Provincetown, MA",,,,,,,,,N,N,Partial loss,
S.S.Amelia P Schmidt (1886),,,schooner,1883,"Dennisville, NJ",5/16/1886,1886,5,16,"Long Branch, NJ",,,Damaged in squall,,,128.9,32.3,8.9,279.93,265.93,"Bridgeton, NJ",Domingo City,,"New York, NY",Pashley,,,,,,,,N,N,#106235,
S.S.Amelia P Schmidt (1887),,,schooner,1883,"Dennisville, NJ",5/13/1887,1887,5,13,Cape May LSS S 2 mi,,,Stranded,,,128.9,32.3,8.9,279.93,265.93,"Bridgeton, NJ",Kennebec River,ME,"Bridgeton, NJ",Pashley,7,,0,"$30,000","$3,200",#106235,Cape May,,N,#106235,
S.S.Amelia P Starkey,,Kelly et al,schooner,1853,"Essex, MA",5/9/1855,1855,5,9,Highlands E 8 mi,,,Dismasted,,,,,9,96,,,,,,,,,,,,,,N,N,,
S.S.American (1985),Roy M,The Lobster House,schooner,1921,"Essex, MA",6/3/1985,1985,6,3,Atlantic City Artificial Reef,39-13-855 N,74-12-332 W,Opened hull,Wood,US,125,18,12,,,NJ AR,AC,,3,,,,,,,,,Y,Y,Cocktail lounge in Cape May for 20 years,See scrapbooks 38 - 43 - Purple Misc
S.S.American System,,,schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded in gale,,,,,,,,"Staten Island, NY",Virginia,,"New York, NY",,,,,,,General,,,N,Driven ashore,
S.S.Amos Briggs,,,schooner,1868,"Cornwall, NY",4/14/1921,1921,4,14,Sandy Hook,,,Stranded,,,86,26.5,6,93,88,"Newark, NJ",,,,,7,,0,,,,,,N,#1401,
S.S.Andrew H Edwards,,,schooner,1866,"Camden, NJ",6/28/1888,1888,6,28,Island Beach LSS S 1 mi,,,Stranded,Wood,US,113,30,8,233.76,222.76,"Boston, MA",Fairhaven,MA,"Philadelphia, PA",Dollridge,5,,0,"$4,000",,,,Y,N,#934; Total loss,
S.S.Andrew Nebinger,,Phil Fitzpatrick & J May,schooner,1873,"Milford, DE",3/12/1888,1888,3,12,Highlands Light,,,Collision,Wood,,127,32.8,9.7,293.7,279,"Philadelphia, PA",Jacksonville,FL,"New York, NY",W T Smith,7,,,"$7,000","$3,000",440 ton Yellow pine lumber,,,N,#105299,
S.S.Angenoria,,,schooner,,,11/29/1838,1838,11,29,Barnegat N 10 mi,,,Stranded,,,,,,,,,Philadelphia,PA,"New York, NY",,,,,,,Coal,,Y,N,Total loss,
S.S.Angie Predmore (1880),,John Predmore,schooner,1869,"Barnegat, NJ",12/26/1880,1880,12,26,Little Beach,,,Stranded,,,81.3,24.9,7.2,93.9,,"Tuckerton, NJ",,,,,6,,0,"$2,500","$2,000",,Little Beach,N,N,#1799; Refloated,
